"","newCases.date","newCases.India"
"2",2020-01-23,0
"3",2020-01-24,0
"4",2020-01-25,0
"5",2020-01-26,0
"6",2020-01-27,0
"7",2020-01-28,0
"8",2020-01-29,0
"9",2020-01-30,0.001
"10",2020-01-31,0
"11",2020-02-01,0
"12",2020-02-02,0.001
"13",2020-02-03,0.001
"14",2020-02-04,0
"15",2020-02-05,0
"16",2020-02-06,0
"17",2020-02-07,0
"18",2020-02-08,0
"19",2020-02-09,0
"20",2020-02-10,0
"21",2020-02-11,0
"22",2020-02-12,0
"23",2020-02-13,0
"24",2020-02-14,0
"25",2020-02-15,0
"26",2020-02-16,0
"27",2020-02-17,0
"28",2020-02-18,0
"29",2020-02-19,0
"30",2020-02-20,0
"31",2020-02-21,0
"32",2020-02-22,0
"33",2020-02-23,0
"34",2020-02-24,0
"35",2020-02-25,0
"36",2020-02-26,0
"37",2020-02-27,0
"38",2020-02-28,0
"39",2020-02-29,0
"40",2020-03-01,0
"41",2020-03-02,0.001
"42",2020-03-03,0
"43",2020-03-04,0.017
"44",2020-03-05,0.001
"45",2020-03-06,0.001
"46",2020-03-07,0.002
"47",2020-03-08,0.004
"48",2020-03-09,0.003
"49",2020-03-10,0.009
"50",2020-03-11,0.004
"51",2020-03-12,0.008
"52",2020-03-13,0.006
"53",2020-03-14,0.014
"54",2020-03-15,0.008
"55",2020-03-16,0.004
"56",2020-03-17,0.017
"57",2020-03-18,0.01
"58",2020-03-19,0.027
"59",2020-03-20,0.036
"60",2020-03-21,0.062
"61",2020-03-22,0.047
"62",2020-03-23,0.074
"63",2020-03-24,0.027
"64",2020-03-25,0.087
"65",2020-03-26,0.05
"66",2020-03-27,0.115
"67",2020-03-28,0.072
"68",2020-03-29,0.027
"69",2020-03-30,0.163
"70",2020-03-31,0.105
"71",2020-04-01,0.431
"72",2020-04-02,0.391
"73",2020-04-03,0.017
"74",2020-04-04,0.37
"75",2020-04-05,0.363
"76",2020-04-06,0.854
"77",2020-04-07,0.383
"78",2020-04-08,0.434
"79",2020-04-09,0.581
"80",2020-04-10,0.627
"81",2020-04-11,0.609
"82",2020-04-12,0.545
"83",2020-04-13,0.896
"84",2020-04-14,0.742
"85",2020-04-15,0.599
"86",2020-04-16,0.795
"87",2020-04-17,0.662
"88",2020-04-18,0.983
"89",2020-04-19,1.359
"90",2020-04-20,0.663
"91",2020-04-21,1.106
"92",2020-04-22,0.926
"93",2020-04-23,1.225
"94",2020-04-24,1.043
"95",2020-04-25,1.258
"96",2020-04-26,1.153
"97",2020-04-27,1.12
"98",2020-04-28,1.344
"99",2020-04-29,1.247
"100",2020-04-30,1.293
"101",2020-05-01,1.718
"102",2020-05-02,1.753
"103",2020-05-03,2.014
"104",2020-05-04,2.822
"105",2020-05-05,2.126
"106",2020-05-06,2.574
"107",2020-05-07,2.414
"108",2020-05-08,2.4
"109",2020-05-09,2.234
"110",2020-05-10,3.124
"111",2020-05-11,2.589
"112",2020-05-12,2.529
"113",2020-05-13,2.701
"114",2020-05-14,2.829
"115",2020-05-15,2.718
"116",2020-05-16,3.491
"117",2020-05-17,3.624
"118",2020-05-18,3.323
"119",2020-05-19,4.411
"120",2020-05-20,3.985
"121",2020-05-21,4.448
"122",2020-05-22,4.714
"123",2020-05-23,4.757
"124",2020-05-24,5.105
"125",2020-05-25,4.603
"126",2020-05-26,4.193
"127",2020-05-27,5.234
"128",2020-05-28,5.239
"129",2020-05-29,5.817
"130",2020-05-30,5.982
"131",2020-05-31,6.303
"132",2020-06-01,5.57
"133",2020-06-02,6.331
"134",2020-06-03,6.913
"135",2020-06-04,7.097
"136",2020-06-05,6.797
"137",2020-06-06,7.491
"138",2020-06-07,7.797
"139",2020-06-08,6.059
"140",2020-06-09,7.333
"141",2020-06-10,7.506
"142",2020-06-11,7.844
"143",2020-06-12,8.223
"144",2020-06-13,8.561
"145",2020-06-14,8.255
"146",2020-06-15,7.655
"147",2020-06-16,7.876
"148",2020-06-17,9.244
"149",2020-06-18,9.75
"150",2020-06-19,10.418
"151",2020-06-20,11.054
"152",2020-06-21,10.644
"153",2020-06-22,10.717
"154",2020-06-23,11.46
"155",2020-06-24,12.144
"156",2020-06-25,12.413
"157",2020-06-26,13.314
"158",2020-06-27,14.286
"159",2020-06-28,13.965
"160",2020-06-29,13.293
"161",2020-06-30,13.378
"162",2020-07-01,13.75
"163",2020-07-02,15.001
"164",2020-07-03,16.342
"165",2020-07-04,17.834
"166",2020-07-05,17.402
"167",2020-07-06,15.969
"168",2020-07-07,16.329
"169",2020-07-08,17.855
"170",2020-07-09,19.022
"171",2020-07-10,19.459
"172",2020-07-11,20.53
"173",2020-07-12,20.62
"174",2020-07-13,20.452
"175",2020-07-14,21.12
"176",2020-07-15,23.45
"177",2020-07-16,25.1
"178",2020-07-17,25.299
"179",2020-07-18,27.771
"180",2020-07-19,29.012
"181",2020-07-20,26.648
"182",2020-07-21,27.085
"183",2020-07-22,32.812
